               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074472,            0.077011,             0.06638,            0.087892,             0.43667,             0.11137,             0.04968,            0.050491,            0.068677,            0.061125,            0.070085,           0.0033239,           0.0033239
                   1,            0.054165,            0.064462,            0.061418,             0.17352,             0.49114,             0.20453,            0.081873,              0.0421,            0.064793,            0.054998,            0.039953,           0.0065254,           0.0065254
                   2,            0.049746,             0.06199,            0.054355,             0.16743,             0.78221,             0.25168,             0.12831,              0.0384,            0.063916,            0.048402,           0.0096891,            0.009595,            0.009595
                   3,            0.044553,            0.059247,            0.048739,             0.25626,             0.72061,             0.35068,             0.17094,            0.037093,            0.063178,            0.042256,            0.009406,            0.009406,            0.009406
                   4,            0.041452,            0.058726,            0.043016,             0.35789,             0.73447,             0.45525,             0.26267,            0.033001,            0.061091,            0.037305,            0.009406,            0.009406,            0.009406
                   5,            0.039722,            0.057802,            0.038904,             0.42427,             0.79683,              0.5201,             0.31777,            0.031919,             0.05996,            0.033262,            0.009208,            0.009208,            0.009208
                   6,            0.037989,            0.056317,             0.03609,             0.46654,             0.79551,             0.59382,             0.36136,            0.030727,            0.059092,             0.02933,             0.00901,             0.00901,             0.00901
                   7,            0.036885,            0.054937,            0.032891,               0.579,             0.78225,             0.65677,             0.40682,             0.03076,            0.059231,            0.026978,            0.008812,            0.008812,            0.008812
                   8,            0.036486,            0.055672,            0.029685,             0.63661,             0.83199,             0.70312,             0.44269,            0.030503,            0.059395,            0.022554,            0.008614,            0.008614,            0.008614
                   9,            0.036008,             0.05534,            0.026834,             0.66736,             0.85232,             0.74588,             0.47695,            0.029373,            0.058343,             0.02028,            0.008416,            0.008416,            0.008416
                  10,            0.035044,            0.054245,            0.025749,             0.68509,             0.85069,             0.77537,             0.49882,            0.029599,            0.058127,            0.019695,            0.008218,            0.008218,            0.008218
                  11,            0.034294,            0.052701,            0.024232,             0.71426,             0.85833,             0.80816,             0.52442,             0.02904,            0.058453,            0.017951,             0.00802,             0.00802,             0.00802
                  12,            0.034223,            0.054147,            0.022711,             0.77434,             0.84959,             0.84845,             0.54872,            0.028851,            0.058137,            0.016001,            0.007822,            0.007822,            0.007822
                  13,            0.033491,            0.052651,            0.021704,             0.84783,             0.83522,             0.88842,             0.58086,            0.029275,            0.058158,            0.014958,            0.007624,            0.007624,            0.007624
                  14,            0.033852,            0.052862,            0.020671,             0.86621,             0.84321,             0.89759,             0.58706,            0.029123,            0.057861,            0.014492,            0.007426,            0.007426,            0.007426
                  15,            0.033014,            0.051962,            0.019285,             0.88779,             0.87571,             0.91364,             0.60658,            0.028781,            0.058068,            0.012069,            0.007228,            0.007228,            0.007228
                  16,            0.032829,            0.053186,            0.018067,             0.90508,             0.87646,             0.92459,             0.60644,            0.028661,            0.058059,            0.011485,             0.00703,             0.00703,             0.00703
                  17,            0.032506,             0.05196,            0.016941,             0.92115,             0.89028,             0.93162,             0.62457,             0.02796,            0.057164,            0.010256,            0.006832,            0.006832,            0.006832
                  18,            0.032986,            0.053144,            0.016652,             0.92763,             0.89134,             0.93547,             0.62163,             0.02838,            0.057626,           0.0098253,            0.006634,            0.006634,            0.006634
                  19,            0.032237,            0.052121,             0.01608,             0.93281,             0.89363,             0.93684,             0.62878,            0.027948,             0.05738,           0.0095328,            0.006436,            0.006436,            0.006436
                  20,            0.032089,            0.051839,            0.015083,             0.93172,             0.90052,             0.93907,             0.63451,            0.028093,            0.056852,            0.009122,            0.006238,            0.006238,            0.006238
                  21,            0.031601,             0.05042,             0.01507,             0.93298,             0.89362,             0.93714,             0.63184,            0.028011,            0.057177,           0.0091927,             0.00604,             0.00604,             0.00604
                  22,            0.031122,            0.050875,            0.014579,             0.93982,             0.90337,             0.94201,             0.63897,            0.027477,            0.056917,           0.0088635,            0.005842,            0.005842,            0.005842
                  23,            0.031086,             0.05114,             0.01443,             0.93761,             0.91175,             0.94402,             0.63483,            0.027519,            0.057002,           0.0082678,            0.005644,            0.005644,            0.005644
                  24,            0.031353,            0.050545,            0.014064,             0.94264,             0.91288,             0.94126,             0.63686,            0.027329,            0.056832,            0.008145,            0.005446,            0.005446,            0.005446
                  25,            0.030617,            0.051212,            0.013629,              0.9526,             0.91352,              0.9479,              0.6468,            0.027314,            0.056734,           0.0071813,            0.005248,            0.005248,            0.005248
                  26,            0.030493,            0.050898,            0.012814,             0.95253,             0.91361,             0.94879,             0.64205,            0.027285,            0.056538,           0.0074385,             0.00505,             0.00505,             0.00505
                  27,            0.030138,            0.050691,            0.012458,             0.95272,             0.92256,             0.94886,             0.64865,            0.027055,            0.056433,           0.0070733,            0.004852,            0.004852,            0.004852
                  28,            0.029721,            0.049148,            0.012304,             0.95142,             0.91989,             0.94709,             0.64785,            0.026895,            0.056381,           0.0070436,            0.004654,            0.004654,            0.004654
                  29,            0.029509,            0.049633,            0.011927,             0.95057,             0.92456,             0.94781,             0.64784,            0.026875,            0.056306,           0.0070007,            0.004456,            0.004456,            0.004456
                  30,            0.029443,            0.048874,            0.011726,             0.95823,             0.92463,             0.94938,             0.65052,            0.027015,            0.056357,           0.0065702,            0.004258,            0.004258,            0.004258
                  31,             0.02927,            0.049312,            0.011604,             0.95534,             0.92445,             0.94744,             0.65189,            0.026951,            0.056427,           0.0066066,             0.00406,             0.00406,             0.00406
                  32,             0.02939,            0.048653,            0.011672,             0.95923,             0.92865,             0.95051,             0.65361,            0.026547,            0.055945,            0.006247,            0.003862,            0.003862,            0.003862
                  33,            0.029529,            0.049739,             0.01135,             0.95617,             0.92476,             0.95012,             0.65613,            0.026351,            0.056007,           0.0064292,            0.003664,            0.003664,            0.003664
                  34,            0.029127,            0.048932,             0.01099,             0.96043,             0.92095,             0.95048,              0.6594,            0.026522,            0.056065,           0.0064276,            0.003466,            0.003466,            0.003466
                  35,            0.028595,            0.048887,              0.0105,             0.96066,             0.92944,             0.95125,              0.6588,            0.026479,            0.055896,           0.0060213,            0.003268,            0.003268,            0.003268
                  36,            0.028899,            0.049689,             0.01074,             0.96171,             0.92814,             0.95093,             0.65977,            0.026449,            0.056023,           0.0059426,             0.00307,             0.00307,             0.00307
                  37,            0.028271,            0.047841,            0.010244,             0.96112,              0.9303,             0.95207,             0.66158,             0.02647,            0.055858,           0.0058736,            0.002872,            0.002872,            0.002872
                  38,            0.028448,             0.04829,            0.010397,             0.96447,             0.93519,             0.95303,             0.66084,            0.026463,            0.056027,           0.0055741,            0.002674,            0.002674,            0.002674
                  39,            0.028067,            0.047891,           0.0097679,             0.96044,             0.93001,             0.95157,             0.66042,             0.02625,            0.055758,           0.0058356,            0.002476,            0.002476,            0.002476
                  40,            0.028186,            0.048242,           0.0098512,             0.96629,             0.93277,             0.95435,             0.66308,            0.026216,            0.056003,           0.0053928,            0.002278,            0.002278,            0.002278
                  41,            0.027816,            0.047098,           0.0096128,             0.96518,             0.93449,             0.95389,             0.66129,            0.026327,             0.05608,           0.0054111,             0.00208,             0.00208,             0.00208
                  42,            0.027694,            0.047408,           0.0093343,             0.96494,             0.93617,             0.95484,             0.66455,            0.026173,            0.055958,            0.005362,            0.001882,            0.001882,            0.001882
                  43,             0.02779,            0.047103,           0.0094022,             0.96708,             0.93669,             0.95602,             0.66837,            0.026063,            0.055729,             0.00522,            0.001684,            0.001684,            0.001684
                  44,            0.027573,            0.046451,           0.0093944,             0.96954,             0.93339,              0.9558,             0.66855,            0.026039,             0.05549,           0.0053141,            0.001486,            0.001486,            0.001486
                  45,            0.027279,            0.047253,           0.0090521,             0.96658,             0.93742,             0.95478,             0.66554,            0.026041,            0.055826,           0.0051809,            0.001288,            0.001288,            0.001288
                  46,            0.027207,            0.046848,           0.0091718,             0.96415,             0.93984,             0.95398,             0.66801,            0.026062,             0.05574,           0.0052092,             0.00109,             0.00109,             0.00109
                  47,            0.027283,            0.047209,           0.0088767,             0.96885,             0.93646,             0.95523,              0.6689,            0.026096,             0.05569,           0.0052668,            0.000892,            0.000892,            0.000892
                  48,            0.026769,            0.046541,           0.0083973,             0.96632,             0.93929,             0.95526,             0.66994,            0.025921,            0.055576,           0.0052854,            0.000694,            0.000694,            0.000694
                  49,            0.026913,            0.047528,           0.0084778,             0.96696,             0.93842,             0.95514,             0.67156,            0.025827,            0.055565,           0.0052023,            0.000496,            0.000496,            0.000496
